conn_from,conn_to,edge_type
040416240Malvina, 666482319ERNEST, mother
040416240Malvina, 872851006RUSSELL, wife
045727277Pete, 200868967Lovie, husband
045727277Pete, 433995199Fern, grand child
045727277Pete, 953554810Millie, nephew
047236861PAIGE, 097389232Elihu, sister
047339698ELLA, 185513744Allison, wife
049114594Cecil, 264375306LAWRENCE, sister
049114594Cecil, 379714744JAY, sister
049114594Cecil, 415539053Elam, brother
049114594Cecil, 886828636BRIAN, sister
050217019Helene, 670854743Jewel, wife
050914884Myrtle, 133716674Emil, wife
050914884Myrtle, 501079973HAZEL, grand child
050914884Myrtle, 643438625Nevada, niece
050914884Myrtle, 870701584Oscar, niece
051070078KYLE, 238285273GARRY, brother
052470086Sylvanus, 194568290Jeannette, nephew
052470086Sylvanus, 433995199Fern, grand child
052470086Sylvanus, 937710636PATRICIA, husband
053354496Alpha, 066263251Enrique, wife
053534425Anastasia, 406731446BRADLEY, wife
054871907Issac, 011531279Kittie, husband
054871907Issac, 648480107ANDREA, father
054871907Issac, 967598265Willian, father
055532573Prince, 098968288DAWN, nephew
055532573Prince, 729608057Adeline, grand child
055938937LYNNE, 246381362Hardy, wife
055938937LYNNE, 303968693Berta, mother
055938937LYNNE, 699902625Augusta, mother
056398353Carrie, 605439402RODNEY, wife
056811328Hollis, 706552485Lilla, husband
056811328Hollis, 714520448Una, grand child
057484219ESTHER, 616001238Zona, sister
057484219ESTHER, 638229809Stanton, sister
057484219ESTHER, 925613131Pollie, sister
057484219ESTHER, 965155017Cathrine, sister
059000145Davie, 091312867Angus, brother
059000145Davie, 757516507Lynn, brother
059433566Lacy, 333630200Rutherford, brother
059433566Lacy, 350930638Israel, brother
059433566Lacy, 350930638Israel, sister
060561956Patience, 501079973HAZEL, grand child
060561956Patience, 850788075CLIVE, wife
062044828Dena, 316787473Rosanna, mother
062044828Dena, 407478474Dow, wife
063227225Otha, 064791064Bernadette, nephew
063227225Otha, 587769910HEIDI, grand child
063340010Gottlieb, 287674428Vena, husband
063340010Gottlieb, 729608057Adeline, grand child
063340010Gottlieb, 834822964Boyd, nephew
064791064Bernadette, 063227225Otha, aunt
064791064Bernadette, 130057821HEIDI, niece
064791064Bernadette, 211509444Amalia, aunt
064791064Bernadette, 366010880Ethel, niece
064791064Bernadette, 407862704Theron, mother
064791064Bernadette, 712701185Francis, grand mother
064791064Bernadette, 848582187MARGERY, sister
064791064Bernadette, 859430561Wilford, wife
064791064Bernadette, 870289348Wash, wife
064791064Bernadette, 895594036Wilburn, mother
065574293Alberta, 250966898Wilmer, mother
065574293Alberta, 358448153Miles, wife
065574293Alberta, 420491506Lora, mother
065574293Alberta, 523566767WAYNE, mother
065574293Alberta, 714520448Una, grand child
065574293Alberta, 816575936Millie, mother
066263251Enrique, 053354496Alpha, husband
066263251Enrique, 501079973HAZEL, grand child
071493228Alva, 022637087Effa, sister
071493228Alva, 196319500Bishop, sister
071493228Alva, 387132749Ransom, sister
073553025Noah, 253649971Matilda, husband
073553025Noah, 501079973HAZEL, grand child
074050314HELEN, 083170185Dock, mother
074050314HELEN, 096703736Emmet, mother
074050314HELEN, 280142388Lyda, mother
074050314HELEN, 336669736Rube, grand mother
074050314HELEN, 394802151ELLA, aunt
074050314HELEN, 407705653Oda, mother
074050314HELEN, 428718550Theadore, wife
074050314HELEN, 500015809Haywood, aunt
074050314HELEN, 514740852ABIGAIL, sister
074050314HELEN, 647341709Bartholomew, wife
074050314HELEN, 710886792Eldridge, wife
074050314HELEN, 778694638Vann, aunt
074050314HELEN, 820987616Harlan, aunt
074050314HELEN, 874946087Colonel, mother
074050314HELEN, 919797585Freddie, mother
074050314HELEN, 933093844GEOFFREY, wife
075835871Louis, 006609564Joe, aunt
075835871Louis, 108815378Willard, wife
075835871Louis, 385666701ERNEST, mother
075835871Louis, 412234810Darius, wife
075835871Louis, 604615838Smith, grand mother
075835871Louis, 668356392Wyatt, grand mother
075835871Louis, 764941272Hiram, mother
075835871Louis, 791208120Araminta, sister
075835871Louis, 830604090Lonnie, mother
075835871Louis, 859912876Duff, mother
076824490Merritt, 476131211Solomon, brother
077007782Albin, 659617087Omar, wife
077007782Albin, 955582505Donnie, mother
077820944Minna, 428638432Jimmie, sister
077820944Minna, 688003098Rosanna, sister
077820944Minna, 721977249Sadie, sister
078169777Charlotta, 500015809Haywood, wife
080982422Willian, 212128351Velma, husband
080982422Willian, 587769910HEIDI, grand child
080982422Willian, 686517389Elmira, father
083137597Prudence, 377128235ELLEN, niece
083137597Prudence, 587769910HEIDI, grand child
083137597Prudence, 729608057Adeline, grand child
083137597Prudence, 940608770Almer, wife
083170185Dock, 514740852ABIGAIL, nephew
083170185Dock, 714520448Una, grand child
083170185Dock, 796251605LEAH, husband
085470240Eunice, 278283835Jasper, niece
085470240Eunice, 520372778Elvira, sister
085470240Eunice, 627933406Jessie, sister
085470240Eunice, 638639486Joeseph, brother
085470240Eunice, 816417667Evie, niece
085470240Eunice, 937192619Alvah, sister
085741946Delia, 652161529Levy, wife
088338639OLIVIA, 015598954Elsie, mother
088338639OLIVIA, 644547992Pierce, wife
088338639OLIVIA, 922032271Ollie, niece
089403406ASHLEIGH, 239862063Augustin, mother
089403406ASHLEIGH, 645249048PAIGE, sister
089403406ASHLEIGH, 774683819JENNA, mother
089403406ASHLEIGH, 922032271Ollie, wife
089403406ASHLEIGH, 926175280Sylvanus, wife
089403406ASHLEIGH, 993077778Clyda, mother
091312867Angus, 059000145Davie, brother
091312867Angus, 303968693Berta, brother
091312867Angus, 332340870Clarence, brother
091312867Angus, 350930638Israel, brother
091312867Angus, 616003687YASMIN, brother
091312867Angus, 630838116Berry, nephew
091312867Angus, 757516507Lynn, brother
091312867Angus, 845538059Elena, brother
092323988ELLIE, 410902706Stacy, mother
092323988ELLIE, 623921179August, wife
092323988ELLIE, 758152838Mittie, mother
092323988ELLIE, 797009971Bob, mother
093107512STANLEY, 714520448Una, grand child
093651812JENNIFER, 142375181AARON, wife
093651812JENNIFER, 433995199Fern, grand child
093651812JENNIFER, 973684734Lucie, mother
094211275Eber, 415065139BRUCE, wife
094261211Chancy, 729608057Adeline, grand child
094261211Chancy, 888805138LEAH, husband
096703736Emmet, 134524460Mina, husband
096703736Emmet, 514740852ABIGAIL, nephew
096703736Emmet, 714520448Una, grand child
097389232Elihu, 047236861PAIGE, brother
098910210Manuel, 679518078MAVIS, husband
098910210Manuel, 964283377Manuela, father
098968288DAWN, 055532573Prince, aunt
098968288DAWN, 099934953Avis, sister
098968288DAWN, 105206953Lyman, wife
098968288DAWN, 192946067Nannie, mother
098968288DAWN, 202830936Lenna, aunt
098968288DAWN, 210781074Clarissa, grand mother
098968288DAWN, 271891163GERALDINE, aunt
098968288DAWN, 350930638Israel, aunt
098968288DAWN, 367985618Volney, mother
098968288DAWN, 527006699Oren, wife
098968288DAWN, 542019196Carrie, wife
098968288DAWN, 632251529Corinne, aunt
098968288DAWN, 793062444Hal, mother
098968288DAWN, 925663157Vertie, mother
098968288DAWN, 989614476Mattie, aunt
099934953Avis, 055532573Prince, mother
099934953Avis, 098968288DAWN, sister
099934953Avis, 105206953Lyman, wife
099934953Avis, 192946067Nannie, aunt
099934953Avis, 202830936Lenna, mother
099934953Avis, 203165555Aline, grand mother
099934953Avis, 211402433Zendia, grand mother
099934953Avis, 233142710Linwood, wife
099934953Avis, 271891163GERALDINE, mother
099934953Avis, 350930638Israel, mother
099934953Avis, 407862704Theron, aunt
099934953Avis, 527006699Oren, wife
099934953Avis, 542019196Carrie, wife
099934953Avis, 632251529Corinne, mother
099934953Avis, 793062444Hal, aunt
099934953Avis, 925663157Vertie, aunt
099934953Avis, 989614476Mattie, mother
101928946IAIN, 201904386Tennessee, brother
102183263MICHELLE, 549814107Cato, sister
102183263MICHELLE, 886878100Eligah, sister
102943984HEATHER, 017090314Liza, sister
102943984HEATHER, 977320204BERYL, brother
104351302Elder, 547621184Enoch, brother
105163976Alpha, 150047046Claudie, husband
105206953Lyman, 098968288DAWN, husband
105206953Lyman, 099934953Avis, husband
105206953Lyman, 172567617Wilma, husband
105206953Lyman, 180242504Augustine, father
105206953Lyman, 202830936Lenna, father
105206953Lyman, 367985618Volney, father
105206953Lyman, 389071583Johanna, husband
105206953Lyman, 409368095Susanna, husband
105206953Lyman, 428638432Jimmie, father
105206953Lyman, 620810228Delphine, father
105206953Lyman, 833530609Francis, father
105206953Lyman, 925663157Vertie, father
105206953Lyman, 977320204BERYL, father
106237872RICHARD, 407705653Oda, brother
108815378Willard, 025884791Darius, father
108815378Willard, 075835871Louis, husband
108815378Willard, 315835513Venie, husband
108815378Willard, 385666701ERNEST, father
108815378Willard, 507987242Tommie, father
108815378Willard, 633925585Jefferson, father
108815378Willard, 859912876Duff, father
108815378Willard, 988846105Genie, father
108815378Willard, 989660600Emmie, husband
108872608Dorcas, 876858270WAYNE, wife
110377537Obed, 263664002Jossie, father
110377537Obed, 913370403HARRIET, husband
111158636Morton, 994775685America, husband
111602646GERTRUDE, 101928946IAIN, mother
111602646GERTRUDE, 201904386Tennessee, mother
112755529Zack, 196333590Lavinia, nephew
112755529Zack, 444571600HANNAH, nephew
112755529Zack, 619930641FIONA, husband
114940554Rudolph, 390184559SYBIL, husband
115121560Artie, 415742018Lollie, husband
115121560Artie, 724697685Clarance, father
116537075Delphia, 501079973HAZEL, grand child
116537075Delphia, 712701185Francis, mother
116537075Delphia, 895594036Wilburn, wife
116537075Delphia, 949224905Zelma, niece
120647913Evaline, 023908742Burl, wife
120647913Evaline, 222135098Claudia, grand mother
120647913Evaline, 233142710Linwood, wife
120647913Evaline, 322190851Ramon, mother
120647913Evaline, 322655012ADRIAN, grand mother
120647913Evaline, 454280064GILBERT, mother
120647913Evaline, 527006699Oren, wife
120647913Evaline, 583132512Sabina, grand mother
120647913Evaline, 936017667Henery, mother
120647913Evaline, 994674027Walter, mother
125542718Celestia, 322655012ADRIAN, wife
125542718Celestia, 729608057Adeline, grand child
127477923Bartholomew, 765576711Fleming, sister
127477923Bartholomew, 879193593Cloyd, sister
128631859STEPHANIE, 458840819GLYNIS, mother
128631859STEPHANIE, 721977249Sadie, mother
128631859STEPHANIE, 942719822Titus, wife
128631859STEPHANIE, 981489643Viola, mother
128892707Friend, 076824490Merritt, father
128892707Friend, 187007634MARION, husband
128892707Friend, 476131211Solomon, father
129964008Tennie, 201212753Lynn, sister
129964008Tennie, 527097952NICOLA, sister
130057821HEIDI, 064791064Bernadette, aunt
130057821HEIDI, 112755529Zack, mother
130057821HEIDI, 196333590Lavinia, sister
130057821HEIDI, 367786216Florence, grand mother
130057821HEIDI, 415891110Orrin, grand mother
130057821HEIDI, 582376381Caleb, mother
130057821HEIDI, 670854743Jewel, mother
130057821HEIDI, 680717945Ferdinand, mother
130057821HEIDI, 715622691Orpha, grand mother
130057821HEIDI, 731963073Bena, aunt
130057821HEIDI, 753991758Jessie, mother
130057821HEIDI, 757355174Emilie, grand mother
130057821HEIDI, 759902520Orren, mother
130057821HEIDI, 840739470LEON, wife
130057821HEIDI, 922032271Ollie, wife
130057821HEIDI, 946738078Isreal, aunt
130057821HEIDI, 993351634Cliff, wife
132459035Tabitha, 433995199Fern, grand child
132459035Tabitha, 776121155Hamilton, mother
132459035Tabitha, 784675006Fannie, mother
133716674Emil, 050914884Myrtle, husband
133716674Emil, 501079973HAZEL, grand child
133716674Emil, 643438625Nevada, nephew
133716674Emil, 870701584Oscar, nephew
134524460Mina, 096703736Emmet, wife
134524460Mina, 714520448Una, grand child
134648497Lige, 349637417Chas, brother
134648497Lige, 401133710Early, brother
134648497Lige, 458141051BRIAN, brother
135367294LESLEY, 761487144Perry, sister
135367294LESLEY, 907678341CAROLYN, sister
135928825Everette, 296785044HOLLY, father
135928825Everette, 594464826Maybelle, husband
136142602Ila, 246217629Sheppard, wife
138731521Adah, 680717945Ferdinand, brother
140027258Calla, 837435993Buford, sister
140027258Calla, 886828636BRIAN, sister
140728915Osa, 220706925Lorena, mother
140728915Osa, 563522502Vernon, mother
140728915Osa, 621303722PATRICK, niece
140728915Osa, 714520448Una, grand child
140728915Osa, 859430561Wilford, wife
141388751Carlton, 000563566Ardelia, uncle
141388751Carlton, 184061859Alpheus, father
141388751Carlton, 522158976HAROLD, father
141388751Carlton, 661241982Mame, husband
141388751Carlton, 904793847EMILY, brother
142375181AARON, 093651812JENNIFER, husband
142375181AARON, 973684734Lucie, father
144678770Emil, 350589948Ardella, husband
146726919Hervey, 501079973HAZEL, grand child
146726919Hervey, 548127014Lilla, husband
146726919Hervey, 757430537Orrie, nephew
150047046Claudie, 105163976Alpha, wife
150074004Randall, 714520448Una, grand child
150535680Cordie, 180904201Elmer, wife
150908085Orlando, 764051545Margarita, husband
154374396Bartholomew, 163756789Hudson, nephew
154374396Bartholomew, 194960792Maryann, husband
154374396Bartholomew, 729608057Adeline, grand child
159077817BEN, 852595379Elenora, husband
162563546Chin, 006609564Joe, uncle
162563546Chin, 091312867Angus, father
162563546Chin, 198910832SARA, father
162563546Chin, 199420081SHIRLEY, father
162563546Chin, 208031412Augusta, father
162563546Chin, 315835513Venie, husband
162563546Chin, 552307845ANNIE, husband
162563546Chin, 573138668DAISY, father
162563546Chin, 577673709Ula, husband
162563546Chin, 583861153FANNY, husband
162563546Chin, 596142857Manson, father
162563546Chin, 630838116Berry, brother
162563546Chin, 757516507Lynn, father
162968179FREDA, 171739558ABIGAIL, mother
162968179FREDA, 217736631NORA, mother
162968179FREDA, 577377239Thaddeus, wife
162968179FREDA, 871977446Oral, mother
163756789Hudson, 154374396Bartholomew, uncle
163756789Hudson, 352955997Lilla, father
163756789Hudson, 546473755Verdie, brother
163756789Hudson, 608442518ELAINE, husband
163756789Hudson, 682097979Noble, father
163756789Hudson, 697612551JUSTIN, uncle
164980070BERNARD, 877233310CHLOE, husband
165944913EVA, 216772039Ethel, wife
165984737Katharine, 201212753Lynn, sister
165984737Katharine, 211402433Zendia, sister
165984737Katharine, 583132512Sabina, sister
167990561Jessee, 129964008Tennie, mother
167990561Jessee, 201212753Lynn, mother
167990561Jessee, 527097952NICOLA, mother
167990561Jessee, 866157199Armand, wife
168028727Roxanna, 714520448Una, grand child
168028727Roxanna, 819546041Elwood, wife
170208423BERTHA, 222135098Claudia, mother
170208423BERTHA, 322190851Ramon, wife
170208423BERTHA, 583132512Sabina, mother
170208423BERTHA, 808447437Woodie, mother
171342483Angus, 005306483Delia, husband
171739558ABIGAIL, 217736631NORA, sister
171739558ABIGAIL, 750938575Madora, niece
171739558ABIGAIL, 871977446Oral, sister
172567617Wilma, 104351302Elder, grand mother
172567617Wilma, 105206953Lyman, wife
172567617Wilma, 351985063Don, mother
172567617Wilma, 409368095Susanna, sister
172567617Wilma, 428638432Jimmie, mother
172567617Wilma, 527006699Oren, wife
172567617Wilma, 542019196Carrie, wife
172567617Wilma, 547621184Enoch, grand mother
172567617Wilma, 620810228Delphine, aunt
172567617Wilma, 685748915Montgomery, mother
172567617Wilma, 702421933RICHARD, wife
172567617Wilma, 818011643Manuel, mother
172567617Wilma, 833530609Francis, mother
172567617Wilma, 937906948CHELSEA, grand mother
172567617Wilma, 977320204BERYL, mother
172684050Arlie, 135367294LESLEY, father
172684050Arlie, 408690568Isabelle, husband
172684050Arlie, 761487144Perry, father
172684050Arlie, 907678341CAROLYN, father
174257183LEAH, 195681647JOSEPHINE, mother
174257183LEAH, 228444001STANLEY, mother
174257183LEAH, 251225681Daisy, mother
174257183LEAH, 451072757Annabel, grand mother
174257183LEAH, 870672646Miles, wife
174503865Salome, 501079973HAZEL, grand child
174503865Salome, 610272643Flem, wife
174503865Salome, 745040690Frederic, mother
174503865Salome, 830293239Alf, mother
174825250Helma, 714520448Una, grand child
174825250Helma, 731364069Jess, wife
180242504Augustine, 729608057Adeline, grand child
180904201Elmer, 150535680Cordie, husband
182285565Clarinda, 505197156Lacy, wife
184061859Alpheus, 522158976HAROLD, brother
184061859Alpheus, 904793847EMILY, nephew
185513290Thomas, 375193666HECTOR, sister
185513290Thomas, 638639486Joeseph, sister
185513744Allison, 047339698ELLA, husband
187007634MARION, 076824490Merritt, mother
187007634MARION, 128892707Friend, wife
187007634MARION, 476131211Solomon, mother
189112920Octavia, 879193593Cloyd, sister
190587068August, 707284173Bettie, husband
192946067Nannie, 099934953Avis, niece
192946067Nannie, 418182280Barton, wife
192946067Nannie, 552263360Mathilde, mother
192946067Nannie, 729608057Adeline, grand child
193919399Harley, 047236861PAIGE, father
193919399Harley, 097389232Elihu, father
193919399Harley, 593746175CHRISTINA, husband
194457985Pete, 548026158Zella, husband
194568290Jeannette, 007063457Cordia, aunt
194568290Jeannette, 052470086Sylvanus, aunt
194568290Jeannette, 201830872Micheal, aunt
194568290Jeannette, 332756266Dillard, aunt
194568290Jeannette, 412234810Darius, sister
194568290Jeannette, 495733566Vance, mother
194568290Jeannette, 565804242Llewellyn, grand mother
194568290Jeannette, 573138668DAISY, aunt
194568290Jeannette, 574485682Herschel, mother
194568290Jeannette, 583861153FANNY, sister
194568290Jeannette, 610924513Lacy, grand mother
194568290Jeannette, 764941272Hiram, aunt
194568290Jeannette, 824513644MARILYN, aunt
194568290Jeannette, 830604090Lonnie, aunt
194568290Jeannette, 858491603Zeke, wife
194568290Jeannette, 869401333Payton, aunt
194568290Jeannette, 933510620PHILLIP, aunt
194568290Jeannette, 990243578Adella, grand mother
194833679CAROLINE, 660409214Bill, wife
194960792Maryann, 154374396Bartholomew, wife
195681647JOSEPHINE, 228444001STANLEY, sister
195681647JOSEPHINE, 747649458ROLAND, sister
196319500Bishop, 022637087Effa, brother
196319500Bishop, 071493228Alva, brother
196319500Bishop, 387132749Ransom, brother
196319500Bishop, 997939409JUDITH, nephew
196333590Lavinia, 112755529Zack, aunt
196333590Lavinia, 130057821HEIDI, sister
196333590Lavinia, 366010880Ethel, sister
196333590Lavinia, 401236559Alba, aunt
196333590Lavinia, 582376381Caleb, aunt
196333590Lavinia, 629183388Luis, wife
196333590Lavinia, 670854743Jewel, aunt
196333590Lavinia, 680717945Ferdinand, aunt
196333590Lavinia, 731963073Bena, mother
196333590Lavinia, 753991758Jessie, aunt
196333590Lavinia, 759902520Orren, aunt
196333590Lavinia, 876176853Elinor, mother
196333590Lavinia, 926175280Sylvanus, wife
196333590Lavinia, 944989055Lovisa, aunt
196333590Lavinia, 946738078Isreal, mother
196413535Cora, 104351302Elder, father
196413535Cora, 547621184Enoch, father
196413535Cora, 833530609Francis, husband
198910832SARA, 433995199Fern, grand child
198910832SARA, 630838116Berry, niece
198910832SARA, 897871289Addison, wife
199420081SHIRLEY, 433995199Fern, grand child
199420081SHIRLEY, 630838116Berry, niece
199420081SHIRLEY, 869401333Payton, wife
200868967Lovie, 045727277Pete, wife
201212753Lynn, 129964008Tennie, brother
201212753Lynn, 165984737Katharine, brother
201212753Lynn, 527097952NICOLA, brother
201830872Micheal, 017090314Liza, father
201830872Micheal, 102943984HEATHER, father
201830872Micheal, 194568290Jeannette, nephew
201830872Micheal, 223560096Mozella, husband
201830872Micheal, 433995199Fern, grand child
201904386Tennessee, 101928946IAIN, sister
201935621Virgil, 237363722ELIZA, husband
201935621Virgil, 587769910HEIDI, grand child
201935621Virgil, 815572444Kirk, father
201935621Virgil, 816417667Evie, nephew
201935621Virgil, 837435993Buford, father
202830936Lenna, 098968288DAWN, niece
202830936Lenna, 211402433Zendia, mother
202830936Lenna, 217930137Tim, wife
202830936Lenna, 729608057Adeline, grand child
205017134Eliseo, 127477923Bartholomew, father
205017134Eliseo, 519020905Annis, husband
206256858Marcella, 478797184GREGORY, wife
207385992Etter, 523629434Hervey, wife
207385992Etter, 729608057Adeline, grand child
208031412Augusta, 059433566Lacy, mother
208031412Augusta, 333630200Rutherford, mother
208031412Augusta, 433995199Fern, grand child
208031412Augusta, 630838116Berry, niece
208400886HOLLY, 640354429ERIC, wife
208400886HOLLY, 886828636BRIAN, mother
210592533Lonnie, 507987242Tommie, wife
210781074Clarissa, 098968288DAWN, grand child
210781074Clarissa, 407862704Theron, wife
210781074Clarissa, 729608057Adeline, grand child
211402433Zendia, 165984737Katharine, brother
211509444Amalia, 064791064Bernadette, niece
211509444Amalia, 350930638Israel, sister
212128351Velma, 080982422Willian, wife
212128351Velma, 587769910HEIDI, grand child
212128351Velma, 686517389Elmira, mother
212128351Velma, 816417667Evie, niece
213609761Caleb, 320703566JULIE, husband
213609761Caleb, 714520448Una, grand child
213609761Caleb, 786892619Jeanne, father
215127719Felicia, 884402308Emma, wife
215982484Mahalia, 280855007Yetta, mother
215982484Mahalia, 536062885Archie, mother
215982484Mahalia, 870672646Miles, wife
216236930Elzie, 285746011Orpha, husband
216236930Elzie, 496394390TOBY, father
216236930Elzie, 509704048Corrie, father
216486291RICKY, 444571600HANNAH, nephew
216772039Ethel, 165944913EVA, husband
217736631NORA, 171739558ABIGAIL, sister
217736631NORA, 750938575Madora, niece
217736631NORA, 871977446Oral, sister
217930137Tim, 202830936Lenna, husband
217930137Tim, 211402433Zendia, father
220706925Lorena, 458840819GLYNIS, sister
220706925Lorena, 638639486Joeseph, brother
221253466JOSEPH, 799125874Pearle, husband
222135098Claudia, 583132512Sabina, sister
222135098Claudia, 808447437Woodie, sister
222135098Claudia, 937573704JAY, brother
223560096Mozella, 017090314Liza, mother
223560096Mozella, 102943984HEATHER, mother
223560096Mozella, 201830872Micheal, wife
224140381Dayton, 283965638Leila, father
224140381Dayton, 345721750Carroll, father
224140381Dayton, 639530274BRENDA, husband
224140381Dayton, 669151080Elizabeth, father
224140381Dayton, 686582370Marvin, father
224140381Dayton, 731091784Rowena, father
224140381Dayton, 733428024DAISY, husband
224140381Dayton, 953282869Birtie, father
224489636Carlos, 709308806Gena, husband
224729539KAREN, 433995199Fern, grand child
228444001STANLEY, 195681647JOSEPHINE, brother
228444001STANLEY, 740686282Jewell, brother
228444001STANLEY, 757430537Orrie, nephew
228444001STANLEY, 950173504Frona, sister
229485586Emil, 433995199Fern, grand child
229485586Emil, 552307845ANNIE, grand child
231663473Woodie, 014838952Arvilla, husband
233142710Linwood, 099934953Avis, husband
233142710Linwood, 120647913Evaline, husband
233142710Linwood, 189112920Octavia, father
233142710Linwood, 271891163GERALDINE, father
233142710Linwood, 322942684AMELIA, uncle
233142710Linwood, 350930638Israel, father
233142710Linwood, 389071583Johanna, husband
233142710Linwood, 584733764Baldwin, brother
233142710Linwood, 632251529Corinne, father
233142710Linwood, 879193593Cloyd, father
233142710Linwood, 980030067Besse, father
233142710Linwood, 994674027Walter, father
237051115Marvin, 109343298Jeff, father
237051115Marvin, 253723044Selena, husband
237363722ELIZA, 201935621Virgil, wife
237363722ELIZA, 587769910HEIDI, grand child
237363722ELIZA, 815572444Kirk, mother
237363722ELIZA, 837435993Buford, mother
238285273GARRY, 051070078KYLE, brother
239862063Augustin, 444571600HANNAH, nephew
239862063Augustin, 645249048PAIGE, nephew
242231689Celestine, 022637087Effa, mother
242231689Celestine, 071493228Alva, mother
242231689Celestine, 196319500Bishop, mother
242231689Celestine, 387132749Ransom, mother
242231689Celestine, 445887033Hamp, aunt
242231689Celestine, 530169216Eli, wife
242231689Celestine, 639530274BRENDA, aunt
242231689Celestine, 799378615RUSSELL, aunt
242231689Celestine, 884402308Emma, aunt
