conn_from,conn_to,edge_type
006927197Annabelle, 249497765Baxter, wife
006927197Annabelle, 306459517Elmo, wife
006927197Annabelle, 382682990Zeb, aunt
006927197Annabelle, 410903724Lauretta, aunt
006927197Annabelle, 440036528Jefferson, aunt
006927197Annabelle, 595316498ERNEST, aunt
006927197Annabelle, 788307182Hilma, mother
006927197Annabelle, 872103041Miner, aunt
006927197Annabelle, 879107597Luna, grand mother
006927197Annabelle, 961281881Carlton, mother
006927197Annabelle, 963190165Milford, mother
006985395GRAEME, 082031276Norris, nephew
006985395GRAEME, 148194722Oran, husband
006985395GRAEME, 450724729Moses, father
006985395GRAEME, 770584067Elda, nephew
007097380Schuyler, 057638538Reta, father
007097380Schuyler, 075534290Eugene, father
007097380Schuyler, 459183591DONNA, father
007097380Schuyler, 827636959Elizebeth, husband
007312267Nola, 032462077Bertrand, wife
007316325Wyatt, 872737571DECLAN, father
007316325Wyatt, 901417648SHEILA, husband
007428519Cruz, 209205887FRANCESCA, uncle
007428519Cruz, 356565660Loretta, brother
007428519Cruz, 440711077DORIS, uncle
007428519Cruz, 630575992RITA, husband
007428519Cruz, 712842412Perry, uncle
007428519Cruz, 981474827ANGELA, uncle
007572108Hollie, 012695369Wilma, father
007572108Hollie, 118694653JORDAN, father
007572108Hollie, 133265635Pearle, husband
007572108Hollie, 182259600Luella, husband
007572108Hollie, 225954608Israel, father
007572108Hollie, 287843303Milo, father
007572108Hollie, 611168758Zetta, husband
007572108Hollie, 705251842MARION, husband
007572108Hollie, 832070792Wilmer, father
007572108Hollie, 894985026Ivey, father
007572108Hollie, 900829109Lavern, father
007572108Hollie, 977462307Lenore, husband
008483934Dorcas, 023011912MARIA, niece
008483934Dorcas, 475266011Junius, niece
008483934Dorcas, 638191661Cecelia, sister
008483934Dorcas, 651103212JULIE, niece
008483934Dorcas, 703613074Clair, sister
008803411Wong, 550648568VERONICA, brother
008803411Wong, 854571204Dena, brother
008967150Estie, 053151542Manson, sister
008967150Estie, 644998705Spencer, wife
008967150Estie, 802156906Raoul, mother
008967150Estie, 839841298Earnest, aunt
008967150Estie, 875108555TOBY, aunt
008967150Estie, 991036370Mart, aunt
008978499Camille, 995176904ERNEST, wife
009593861Wallace, 453528237Anastasia, husband
009601444Cora, 037834208Jesus, brother
009601444Cora, 383400233Emeline, brother
009601444Cora, 758679286Eugenia, nephew
009871737Harry, 198466970Ed, sister
009871737Harry, 500175424GLORIA, sister
009958274Lynn, 518600217Tennessee, husband
010311258SEAN, 966759458Arie, husband
010399798Webb, 356270300Mima, brother
010399798Webb, 405779688Allie, brother
010522662MATTHEW, 005781151Dell, brother
010522662MATTHEW, 139435213Rowland, brother
010522662MATTHEW, 163663650Jessie, nephew
010522662MATTHEW, 301433596Odelia, nephew
010522662MATTHEW, 352199307Adina, nephew
010522662MATTHEW, 522707732Myra, brother
010522662MATTHEW, 614436687JOYCE, brother
010522662MATTHEW, 827702354Arther, brother
010883721Thomas, 023093112Lonnie, wife
011111247Garfield, 211636673Lotta, nephew
011111247Garfield, 391217224Lucretia, grand child
011111247Garfield, 971079231Erna, husband
011147067Carlotta, 068597551Dellar, mother
011147067Carlotta, 622276592OLIVER, wife
011489122Hyrum, 092365511Junie, nephew
011489122Hyrum, 391217224Lucretia, grand child
011489122Hyrum, 758733716CATHERINE, nephew
011489122Hyrum, 865469602Glenna, husband
011688847Glenna, 395048216Addie, wife
011688847Glenna, 695752227Ettie, grand child
011704700Angeline, 265381046HECTOR, sister
011704700Angeline, 298725577Elmer, sister
011704700Angeline, 490770471Clarence, sister
011704700Angeline, 902314828Duff, brother
011704700Angeline, 979112364Vannie, sister
011882428Weaver, 647420524Bart, brother
011882428Weaver, 805695575GRACE, brother
011935687FREDERICK, 114743143PEGGY, husband
011935687FREDERICK, 787100849Gardner, father
011935687FREDERICK, 998390971Josie, father
012069153Carlton, 018664557Bulah, grand child
012069153Carlton, 218085537Abby, nephew
012069153Carlton, 375333587Opal, nephew
012069153Carlton, 689759225Silas, father
012069153Carlton, 913791947Ena, husband
012308714ASHLEY, 016054644Carleton, uncle
012308714ASHLEY, 082267327Edyth, brother
012308714ASHLEY, 107067631Zella, uncle
012308714ASHLEY, 368197113VICTORIA, husband
012308714ASHLEY, 392774310Orion, uncle
012308714ASHLEY, 841875908ANDREW, uncle
012308714ASHLEY, 859761153Earl, uncle
012308714ASHLEY, 861789883Hermine, father
012508465Stanton, 501600653Lucile, husband
012675457Leander, 034329672Marcia, nephew
012675457Leander, 065966668DUNCAN, father
012675457Leander, 444535612Birtha, father
012675457Leander, 485850143MARLENE, father
012675457Leander, 886562614Harlan, nephew
012675457Leander, 968144778Love, husband
012695369Wilma, 225954608Israel, sister
012750150Adrienne, 695207123Amalia, grand child
012750150Adrienne, 735251664BILLY, wife
012750150Adrienne, 737858605Ulysses, niece
012750150Adrienne, 745594559Zeke, mother
012808802Bennie, 018840513Claudia, husband
013310114ADA, 167088197Lottie, sister
013310114ADA, 201292205Hiram, wife
013310114ADA, 246370410Joella, mother
013310114ADA, 308704575Malissa, aunt
013310114ADA, 538265211Loyd, wife
013310114ADA, 546513570Juan, aunt
013310114ADA, 578192696Jerry, mother
013310114ADA, 614742925Park, mother
013310114ADA, 849552720Aron, mother
013310114ADA, 884998352Moses, aunt
013665028Hollis, 578646766Nelia, husband
014039800BILLY, 677658610RACHEL, husband
014082637Adolf, 105757892Horatio, brother
014082637Adolf, 159888984Leonie, brother
014082637Adolf, 398322607Minervia, brother
014082637Adolf, 412992592Esta, brother
014082637Adolf, 433924705CATHERINE, brother
014699206Elder, 769759783Anton, wife
014892298Madison, 517094359EDGAR, brother
014892298Madison, 519361236OLIVE, nephew
014892298Madison, 705361032Olen, sister
014892298Madison, 864396909FRANCESCA, brother
014981784Christ, 410450237NICOLE, husband
015038963MAVIS, 338214031Daisie, mother
015038963MAVIS, 694065734Matt, wife
015419900Linnie, 224019033Otha, wife
015643508Ora, 769527170GORDON, sister
015769317MARILYN, 228490042Julious, sister
015769317MARILYN, 273288542Willie, sister
015769317MARILYN, 968761808AARON, sister
015773499Leatha, 315252345DANNY, wife
015773499Leatha, 391217224Lucretia, grand child
016054644Carleton, 012308714ASHLEY, nephew
016054644Carleton, 619949731Thea, husband
016054644Carleton, 672734770VIOLET, nephew
016054644Carleton, 695752227Ettie, grand child
016269129RONALD, 631517661Ethel, nephew
016269129RONALD, 695752227Ettie, grand child
016660966Claude, 374413833Gideon, wife
016660966Claude, 685287947Carlton, mother
017127002AMY, 617848328Math, wife
017150972Alvia, 034784331Anastasia, husband
017150972Alvia, 099831212Grayce, father
017150972Alvia, 125263326Delia, uncle
017150972Alvia, 159243580Jewel, father
017150972Alvia, 166372443Theodore, uncle
017150972Alvia, 175376894PEGGY, father
017150972Alvia, 220263068CAITLIN, father
017150972Alvia, 356150758Roberta, husband
017150972Alvia, 448768468Flora, brother
017150972Alvia, 560279025CLARE, husband
017150972Alvia, 675920535Elvina, father
017150972Alvia, 703836913JOANNA, husband
017150972Alvia, 744207776JEAN, father
017150972Alvia, 816200336Lovisa, husband
017150972Alvia, 988978460Manford, uncle
017444492MITCHELL, 099627646ARNOLD, father
017444492MITCHELL, 204614335Adelbert, father
017444492MITCHELL, 207589829Saul, father
017444492MITCHELL, 285770929Manerva, father
017444492MITCHELL, 375333587Opal, husband
017444492MITCHELL, 527190992Cordie, husband
017444492MITCHELL, 586766760Calvin, father
017444492MITCHELL, 634228262Venie, father
017444492MITCHELL, 774140365Judge, father
017444492MITCHELL, 792613811Rosalie, husband
017444492MITCHELL, 807302412LINDA, husband
017444492MITCHELL, 903540574Myrtie, husband
018079442Eber, 184304120King, brother
018079442Eber, 275684657Mena, brother
018352332Floyd, 624146815VIOLET, husband
018602123Della, 855340379Abbott, wife
018664557Bulah, 002098848Alcide, grand mother
018664557Bulah, 004697666Santiago, grand mother
018664557Bulah, 011704700Angeline, grand mother
018664557Bulah, 012069153Carlton, grand mother
018664557Bulah, 021116372Orin, grand mother
018664557Bulah, 022985936SARA, grand mother
018664557Bulah, 023610644Leo, wife
018664557Bulah, 024891902LEON, grand mother
018664557Bulah, 025416819JASON, grand mother
018664557Bulah, 026437627Dewitt, grand mother
018664557Bulah, 027311739Isadora, grand mother
018664557Bulah, 027782625Electa, grand mother
018664557Bulah, 033668480Ola, grand mother
018664557Bulah, 036715567MOHAMMAD, grand mother
018664557Bulah, 041294095Starling, grand mother
018664557Bulah, 045766699Lona, grand mother
018664557Bulah, 046522784Mortimer, grand mother
018664557Bulah, 053567966CONOR, grand mother
018664557Bulah, 054727592Ely, grand mother
018664557Bulah, 055431616VIOLET, grand mother
018664557Bulah, 058063896JULIA, grand mother
018664557Bulah, 063693122Alphonso, grand mother
018664557Bulah, 065913517Zola, grand mother
018664557Bulah, 069489164Murdock, grand mother
018664557Bulah, 072075151Liza, grand mother
018664557Bulah, 073772792Manley, grand mother
018664557Bulah, 075670761Manson, grand mother
018664557Bulah, 077853744Grayce, grand mother
018664557Bulah, 081110440Retta, grand mother
018664557Bulah, 093533829Corine, grand mother
018664557Bulah, 099627646ARNOLD, grand mother
018664557Bulah, 102910811Andy, grand mother
018664557Bulah, 103637701Alba, grand mother
018664557Bulah, 104365016Lem, grand mother
018664557Bulah, 106355298Lucretia, grand mother
018664557Bulah, 110577142Marshal, grand mother
018664557Bulah, 111999590Henrietta, grand mother
018664557Bulah, 122279298Preston, grand mother
018664557Bulah, 127333544Annetta, grand mother
018664557Bulah, 127366588GLYNIS, grand mother
018664557Bulah, 133875925PAULINE, grand mother
018664557Bulah, 135691497Mina, grand mother
018664557Bulah, 136738005DORIS, grand mother
018664557Bulah, 137291711VANESSA, grand mother
018664557Bulah, 142224425REGINALD, grand mother
018664557Bulah, 144478972Wright, grand mother
018664557Bulah, 144637544Eleanore, grand mother
018664557Bulah, 148117966Zoa, grand mother
018664557Bulah, 149903900GEMMA, grand mother
018664557Bulah, 155955824Aden, grand mother
018664557Bulah, 156310417Wood, grand mother
018664557Bulah, 159424881Adolphus, grand mother
018664557Bulah, 163744071Rosalie, grand mother
018664557Bulah, 164454585Clemmie, grand mother
018664557Bulah, 169828598Matilda, grand mother
018664557Bulah, 170842455GEORGE, grand mother
018664557Bulah, 173490532Olen, grand mother
018664557Bulah, 174872097Valentine, grand mother
018664557Bulah, 177229640Rose, grand mother
018664557Bulah, 185328803Juliet, grand mother
018664557Bulah, 187138950Adelle, grand mother
018664557Bulah, 190555452Otha, grand mother
018664557Bulah, 197577442Nellie, grand mother
018664557Bulah, 202279359Eleanora, grand mother
018664557Bulah, 202788522Dell, grand mother
018664557Bulah, 204614335Adelbert, grand mother
018664557Bulah, 207589829Saul, grand mother
018664557Bulah, 207968918Connie, grand mother
018664557Bulah, 209205887FRANCESCA, grand mother
018664557Bulah, 209697919Leander, grand mother
018664557Bulah, 214911756Nimrod, grand mother
018664557Bulah, 219746557Jerome, grand mother
018664557Bulah, 224776015Anson, grand mother
018664557Bulah, 225447633Arvid, grand mother
018664557Bulah, 226034546Elam, grand mother
018664557Bulah, 229073855DYLAN, grand mother
018664557Bulah, 232385250Liddie, grand mother
018664557Bulah, 232851457Paulina, grand mother
018664557Bulah, 239104261Clem, grand mother
018664557Bulah, 248901237Tillman, grand mother
018664557Bulah, 252612738Rice, grand mother
018664557Bulah, 254300019Wilhelmina, grand mother
018664557Bulah, 264232639Homer, grand mother
018664557Bulah, 265381046HECTOR, grand mother
018664557Bulah, 271012824Louvenia, grand mother
018664557Bulah, 271741661Warren, grand mother
018664557Bulah, 272118190Vance, grand mother
018664557Bulah, 274960442Clem, grand mother
018664557Bulah, 277066663TREVOR, grand mother
018664557Bulah, 279869271Gus, grand mother
018664557Bulah, 279992630Clinton, grand mother
018664557Bulah, 281846609Ophelia, grand mother
018664557Bulah, 284920296Aubrey, grand mother
018664557Bulah, 285770929Manerva, grand mother
018664557Bulah, 291861689Lenard, grand mother
018664557Bulah, 297204188Octave, grand mother
018664557Bulah, 298725577Elmer, grand mother
018664557Bulah, 311137602Benjaman, grand mother
018664557Bulah, 313660587Tillie, grand mother
018664557Bulah, 314198432EILEEN, grand mother
018664557Bulah, 316183709Sanford, grand mother
018664557Bulah, 320407808Ena, grand mother
018664557Bulah, 321148409Ferdinand, grand mother
018664557Bulah, 323582165Ivey, grand mother
018664557Bulah, 324377850Ora, grand mother
018664557Bulah, 326217957Otha, grand mother
018664557Bulah, 327332285Washington, grand mother
018664557Bulah, 336679083Arvid, grand mother
018664557Bulah, 337960061Merrill, grand mother
018664557Bulah, 341501955Celia, grand mother
018664557Bulah, 350615676LINDSAY, grand mother
018664557Bulah, 351762485Coleman, grand mother
018664557Bulah, 352615426Mac, grand mother
018664557Bulah, 355319275Burt, grand mother
018664557Bulah, 357341902Bess, grand mother
018664557Bulah, 359589840Aubrey, grand mother
018664557Bulah, 360730488Louie, grand mother
018664557Bulah, 365494885Cherry, grand mother
018664557Bulah, 366721655Henrietta, grand mother
018664557Bulah, 366727646Clovis, grand mother
018664557Bulah, 370623147Hilliard, grand mother
018664557Bulah, 373494633BRENDA, grand mother
018664557Bulah, 375155898Grover, grand mother
018664557Bulah, 375244352Pearl, grand mother
018664557Bulah, 377835087Elisabeth, grand mother
018664557Bulah, 380515201Mose, grand mother
018664557Bulah, 380613344Gustavus, grand mother
018664557Bulah, 381983051Washington, grand mother
018664557Bulah, 383521865Raleigh, grand mother
018664557Bulah, 385892865Louvenia, grand mother
018664557Bulah, 386300824Corinne, grand mother
018664557Bulah, 389789084Salomon, grand mother
018664557Bulah, 390680777Henrietta, grand mother
018664557Bulah, 393674187Eunice, grand mother
018664557Bulah, 394427882Byron, grand mother
018664557Bulah, 395672296PAUL, grand mother
018664557Bulah, 396268249RITA, grand mother
018664557Bulah, 399602667Claudie, grand mother
018664557Bulah, 402288509JENNY, grand mother
018664557Bulah, 405293765Cato, grand mother
018664557Bulah, 411584184DAMIEN, grand mother
018664557Bulah, 420814837Dessie, grand mother
018664557Bulah, 425588415MARTHA, grand mother
018664557Bulah, 426020286GLENYS, grand mother
018664557Bulah, 426664576Mozella, grand mother
018664557Bulah, 431271663Connie, grand mother
018664557Bulah, 438721434DESMOND, grand mother
018664557Bulah, 440711077DORIS, grand mother
018664557Bulah, 446755720Anna, grand mother
018664557Bulah, 447661780Antonia, grand mother
018664557Bulah, 448590852Clarissa, grand mother
018664557Bulah, 449442164Watson, grand mother
018664557Bulah, 450895277Manson, grand mother
018664557Bulah, 451146758Sena, grand mother
018664557Bulah, 453678984Sula, grand mother
018664557Bulah, 456484892Fidelia, grand mother
018664557Bulah, 456883872LYNNE, grand mother
018664557Bulah, 458095571Pearl, grand mother
018664557Bulah, 459084520FRANCESCA, grand mother
018664557Bulah, 459908516Fleming, grand mother
018664557Bulah, 464577076Bird, grand mother
018664557Bulah, 465719187Anastasia, grand mother
018664557Bulah, 465719317Fern, grand mother
018664557Bulah, 466990853Magdalena, grand mother
018664557Bulah, 468795403Lum, grand mother
018664557Bulah, 468816164Wesley, grand mother
018664557Bulah, 472872979Christena, grand mother
018664557Bulah, 472880377Worthy, grand mother
018664557Bulah, 473187494Almira, grand mother
018664557Bulah, 475937549Isiah, grand mother
018664557Bulah, 482564836Elizabeth, grand mother
018664557Bulah, 485859180Cruz, grand mother
018664557Bulah, 490770471Clarence, grand mother
018664557Bulah, 494702227DAISY, grand mother
018664557Bulah, 494757633Jasper, grand mother
018664557Bulah, 496834732HUGH, grand mother
018664557Bulah, 497436623BEVERLEY, grand mother
018664557Bulah, 502621349Albertina, grand mother
018664557Bulah, 505627352TERESA, grand mother
018664557Bulah, 512996779Byron, grand mother
018664557Bulah, 513847145Eleanore, grand mother
018664557Bulah, 517322018Omie, grand mother
018664557Bulah, 519287395Kirk, grand mother
018664557Bulah, 519361236OLIVE, grand mother
018664557Bulah, 528056165BEVERLEY, grand mother
018664557Bulah, 538142999Friend, grand mother
018664557Bulah, 538367520TOM, grand mother
018664557Bulah, 540644805Cary, grand mother
018664557Bulah, 546685973Jerry, grand mother
018664557Bulah, 547054380HELEN, grand mother
018664557Bulah, 551962268Louie, grand mother
018664557Bulah, 552173690EDITH, grand mother
018664557Bulah, 558315965Love, grand mother
018664557Bulah, 558823532Odelia, grand mother
018664557Bulah, 559996269EDMUND, grand mother
018664557Bulah, 562054476Zachariah, grand mother
018664557Bulah, 562494642ABDUL, grand mother
018664557Bulah, 568689398Hilliard, grand mother
018664557Bulah, 568770332SAMANTHA, grand mother
018664557Bulah, 569074050Fidelia, grand mother
018664557Bulah, 569220382Kirk, grand mother
018664557Bulah, 570284041Foster, grand mother
018664557Bulah, 583126293Lew, grand mother
018664557Bulah, 586766760Calvin, grand mother
018664557Bulah, 587392494Lucina, grand mother
018664557Bulah, 592185502Indiana, grand mother
018664557Bulah, 597791817Hence, grand mother
018664557Bulah, 599030043DAWN, grand mother
018664557Bulah, 602242636Agatha, grand mother
018664557Bulah, 606125655Erasmus, grand mother
018664557Bulah, 607330033Celestine, grand mother
018664557Bulah, 607830360MABEL, grand mother
018664557Bulah, 615485763Hyman, grand mother
018664557Bulah, 621341133Anderson, grand mother
018664557Bulah, 626812492Alvia, grand mother
018664557Bulah, 631508898CHRISTOPHER, grand mother
018664557Bulah, 635650899LOUISA, grand mother
018664557Bulah, 637180945WILFRED, grand mother
018664557Bulah, 644947684West, grand mother
018664557Bulah, 650619901Webster, grand mother
018664557Bulah, 665365319Davie, grand mother
018664557Bulah, 669348378Ula, grand mother
018664557Bulah, 670174373Dena, grand mother
018664557Bulah, 670277394Angie, grand mother
018664557Bulah, 670427128Floy, grand mother
018664557Bulah, 673734470Young, grand mother
018664557Bulah, 674770561Alva, grand mother
018664557Bulah, 674904501Mai, grand mother
018664557Bulah, 680475137RACHAEL, grand mother
018664557Bulah, 683013612Faith, grand mother
018664557Bulah, 684784256Sallie, grand mother
018664557Bulah, 686086382Erie, grand mother
018664557Bulah, 688227728MICHAEL, grand mother
018664557Bulah, 689759225Silas, grand mother
018664557Bulah, 693445246Thad, grand mother
018664557Bulah, 695607194JOSEPHINE, grand mother
018664557Bulah, 696083660Lafayette, grand mother
018664557Bulah, 699055761Gust, grand mother
018664557Bulah, 703503589Nan, grand mother
018664557Bulah, 705361032Olen, grand mother
018664557Bulah, 710938399RAYMOND, grand mother
018664557Bulah, 712615315Johanna, grand mother
018664557Bulah, 712842412Perry, grand mother
018664557Bulah, 713208384Faith, grand mother
018664557Bulah, 713993948Flora, grand mother
018664557Bulah, 716249407Mertie, grand mother
018664557Bulah, 717982381CONOR, grand mother
018664557Bulah, 718923674GLORIA, grand mother
018664557Bulah, 721601529Lyle, grand mother
018664557Bulah, 722243475Hampton, grand mother
018664557Bulah, 723754823Lee, grand mother
018664557Bulah, 726057070DOREEN, grand mother
018664557Bulah, 728403362Luther, grand mother
018664557Bulah, 730535865Tommie, grand mother
018664557Bulah, 733365539Fritz, grand mother
018664557Bulah, 744071362NORMA, grand mother
018664557Bulah, 744775366Algie, grand mother
018664557Bulah, 746848896Arthur, grand mother
018664557Bulah, 748280622Tilda, grand mother
018664557Bulah, 750262558NAOMI, grand mother
018664557Bulah, 750722814HARRIET, grand mother
018664557Bulah, 753053246Paulina, grand mother
018664557Bulah, 758029083Clarice, grand mother
018664557Bulah, 764892361Hunt, grand mother
018664557Bulah, 769564011YVONNE, grand mother
018664557Bulah, 772991401Frankie, grand mother
018664557Bulah, 774140365Judge, grand mother
018664557Bulah, 774571458Eve, grand mother
018664557Bulah, 781769431Sol, grand mother
018664557Bulah, 782385490Ara, grand mother
018664557Bulah, 788063621Lilla, grand mother
018664557Bulah, 790463741Chauncey, grand mother
018664557Bulah, 790752567Katheryn, grand mother
018664557Bulah, 792494250Agustus, grand mother
018664557Bulah, 797866524MALCOLM, grand mother
018664557Bulah, 799521596Malvina, grand mother
018664557Bulah, 801579764Hayes, grand mother
018664557Bulah, 802056959Leander, grand mother
018664557Bulah, 802160904Tobe, grand mother
018664557Bulah, 805241724CARL, grand mother
018664557Bulah, 809114583Dee, grand mother
018664557Bulah, 809551386Eugenia, grand mother
018664557Bulah, 810675582Drew, grand mother
018664557Bulah, 812329022Judge, grand mother
018664557Bulah, 825572118Melva, grand mother
018664557Bulah, 827987654Leroy, grand mother
018664557Bulah, 829258901Merritt, grand mother
018664557Bulah, 829554517TOM, grand mother
018664557Bulah, 830822682Gardner, grand mother
018664557Bulah, 833122151Jimmie, grand mother
018664557Bulah, 840705537KEVIN, grand mother
018664557Bulah, 842658949Abby, grand mother
018664557Bulah, 844864186Verona, grand mother
018664557Bulah, 847479952Weaver, grand mother
018664557Bulah, 847643285Arminta, grand mother
018664557Bulah, 848563072Ephriam, grand mother
018664557Bulah, 849316725Elnora, grand mother
018664557Bulah, 851022305Tressie, grand mother
018664557Bulah, 856071493Onie, grand mother
018664557Bulah, 874456122Shirley, grand mother
018664557Bulah, 881521535Judge, grand mother
018664557Bulah, 884422881Pleas, grand mother
018664557Bulah, 889604746Iola, grand mother
018664557Bulah, 889882035Verdie, grand mother
018664557Bulah, 893001237Omer, grand mother
018664557Bulah, 900549025Angeline, grand mother
018664557Bulah, 902314828Duff, grand mother
018664557Bulah, 905090078Era, grand mother
018664557Bulah, 908574588Zack, grand mother
018664557Bulah, 911143287Chris, grand mother
018664557Bulah, 917125733Cruz, grand mother
018664557Bulah, 917983934CLARENCE, grand mother
018664557Bulah, 919322446VICTOR, grand mother
018664557Bulah, 920299776Mason, grand mother
018664557Bulah, 928166059Eliza, grand mother
018664557Bulah, 930712408Ennis, grand mother
018664557Bulah, 932112823ALLAN, grand mother
018664557Bulah, 933553839Stanford, grand mother
018664557Bulah, 937871971Mac, grand mother
018664557Bulah, 943369199Issac, grand mother
018664557Bulah, 943491734Green, grand mother
018664557Bulah, 947303173CALLUM, grand mother
018664557Bulah, 950405245Parley, grand mother
018664557Bulah, 953942111Iona, grand mother
018664557Bulah, 963344660KIMBERLEY, grand mother
018664557Bulah, 967936192Orie, grand mother
018664557Bulah, 968358431LEIGH, grand mother
018664557Bulah, 976488601Rosetta, grand mother
018664557Bulah, 977378110Annabelle, grand mother
018664557Bulah, 979112364Vannie, grand mother
018664557Bulah, 979786219Jannie, grand mother
018664557Bulah, 981474827ANGELA, grand mother
018664557Bulah, 981497106Zula, grand mother
018664557Bulah, 993075315Fronnie, grand mother
018664557Bulah, 997640394Elias, grand mother
018664557Bulah, 999886721Garland, grand mother
018755872BRADLEY, 220723656Elisa, husband
018755872BRADLEY, 795694275Aileen, father
018840513Claudia, 012808802Bennie, wife
019014478Roderick, 546120781Una, husband
